chr1	13059534	13104684
chr1	84860644	84890557
chr1	180888553	180889423
chr2	20652975	20670120
chr2	32153371	32175216
chr2	33426509	33445340
chr2	71649956	71656560
chr2	154416915	154428638
chr2	168764188	168791670
chr3	34645982	34654589
chr3	34734765	34761783
chr4	55456387	55478209
chr4	127198513	127201783
chr4	137773521	137801851
chr4	141270157	141285007
chr5	113329921	113346369
chr5	116395755	116410844
chr5	119679583	119721473
chr6	91690167	91711253
chr6	122690100	122707853
chr6	143098789	143117238
chr7	45551483	45559398
chr7	49337539	49349262
chr7	83878686	83903320
chr7	133112473	133115562
chr7	139945218	139950332
chr7	144850967	144864811
chr8	90828025	90831393
chr9	58272030	58280697
chr9	78359336	78375635
chr9	110946918	110960867
chr9	121335383	121344984
chr10	62883646	62898815
chr11	8566448	8586873
chr11	62510794	62513749
chr11	67011289	67024728
chr11	97656359	97662845
chr11	104288857	104306230
chr12	12926985	12944130
chr12	55486360	55506159
chr12	102702277	102714794
chr13	95525139	95536164
chr14	21474466	21489767
chr14	63499980	63513064
chr14	70622852	70636123
chr14	76494875	76516139
chr14	99339321	99356088
chr14	105897269	105905216
chr15	25724347	25774510
chr15	77338422	77356821
chr16	8758080	8779379
chr16	84768928	84780441
chr17	26494776	26511744
chr17	36973257	36998051
chr17	45456528	45459554
chr17	47503465	47512094
chr17	66469383	66487069
chr17	70864464	70873093
